train_size,model,accuracy,loss,seconds,trainable_params,phase_mean_error,phase_max_error,phase_rule_accuracy,positive_accuracy,same_group_negative_accuracy,diff_group_negative_accuracy
8192,phase_feature,0.656158447265625,1.0163061283528805,0.743,18,1.526125192642212,3.0818068981170654,,0.560699462890625,0.50323486328125,1.0
8192,phase_margin,0.5147972106933594,5.613644868135452,0.137,19,1.5147948265075684,3.0846328735351562,0.5147972106933594,0.06096649169921875,0.937255859375,1.0
8192,phase_margin_fixed,0.5147972106933594,14.94455897808075,0.128,16,1.5149484872817993,3.086043357849121,0.5147972106933594,0.06096649169921875,0.937255859375,1.0
8192,no_relation_phase,0.6396560668945312,1.0543217808008194,0.127,2,1.570796251296997,3.141592502593994,,0.560699462890625,0.437225341796875,1.0
8192,amplitude_feature,0.75,0.9967831112444401,0.119,2,,,,1.0,0.0,1.0
8192,real_feature_mlp,0.5781784057617188,0.6704850047826767,0.585,75457,,,,0.5183868408203125,0.4894561767578125,0.7864837646484375
32768,phase_feature,0.6561317443847656,0.9672220833599567,0.14,18,1.4672890901565552,3.059272050857544,,0.560699462890625,0.5031280517578125,1.0
32768,phase_margin,0.5640640258789062,5.345138430595398,0.133,19,1.4593998193740845,3.0272841453552246,0.5649375915527344,0.1856231689453125,0.885009765625,1.0
32768,phase_margin_fixed,0.5340309143066406,14.354420244693756,0.128,16,1.4593358039855957,3.0280818939208984,0.5340309143066406,0.123809814453125,0.8885040283203125,1.0
32768,no_relation_phase,0.6396560668945312,1.041346624493599,0.121,2,1.570796251296997,3.141592502593994,,0.560699462890625,0.437225341796875,1.0
32768,amplitude_feature,0.75,0.975550401955843,0.125,2,,,,1.0,0.0,1.0
32768,real_feature_mlp,0.7041168212890625,0.5797004960477352,0.153,75457,,,,0.873870849609375,0.12738037109375,0.94134521484375
131072,phase_feature,0.7081298828125,0.7197179645299911,0.161,18,1.1710526943206787,2.578308582305908,,0.6866378784179688,0.4592437744140625,1.0
131072,phase_margin,0.6262855529785156,3.8097282499074936,0.205,19,1.1396739482879639,2.5748770236968994,0.5767669677734375,0.31005096435546875,0.885040283203125,1.0
131072,phase_margin_fixed,0.5767669677734375,10.77841579914093,0.189,16,1.1372551918029785,2.5746707916259766,0.5767669677734375,0.1856231689453125,0.935821533203125,1.0
131072,no_relation_phase,0.6396560668945312,0.9721549153327942,0.174,2,1.570796251296997,3.141592502593994,,0.560699462890625,0.437225341796875,1.0
131072,amplitude_feature,0.75,0.8522420302033424,0.144,2,,,,1.0,0.0,1.0
131072,real_feature_mlp,0.7740554809570312,0.44987284392118454,0.264,75457,,,,0.9872970581054688,0.1216888427734375,0.99993896484375
524288,phase_feature,0.8942832946777344,0.309320617467165,0.47,18,0.5515853762626648,1.0850918292999268,,1.0,0.5771331787109375,1.0
524288,phase_margin,0.8668937683105469,0.27354410849511623,0.43,19,0.35411369800567627,0.712813675403595,0.7039604187011719,0.8112716674804688,0.84503173828125,1.0
524288,phase_margin_fixed,0.765960693359375,0.833685826510191,0.43,16,0.2794725000858307,0.6677730083465576,0.765960693359375,0.560699462890625,0.94244384765625,1.0
524288,no_relation_phase,0.6396560668945312,0.8284474425017834,0.381,2,1.570796251296997,3.141592502593994,,0.560699462890625,0.437225341796875,1.0
524288,amplitude_feature,0.75,0.5230583027005196,0.327,2,,,,1.0,0.0,1.0
524288,real_feature_mlp,0.983642578125,0.07214092183858156,0.671,75457,,,,0.9999771118164062,0.935272216796875,0.9993438720703125
1048576,phase_feature,0.9291648864746094,0.20979216415435076,0.774,18,0.18483075499534607,0.4351370930671692,,1.0,0.7166595458984375,1.0
1048576,phase_margin,0.9622726440429688,0.1309095062315464,0.766,19,0.16498863697052002,0.2977069020271301,0.8340339660644531,1.0,0.849090576171875,1.0
1048576,phase_margin_fixed,0.9947853088378906,0.152752835303545,0.53,16,0.06238078325986862,0.12551474571228027,0.9947853088378906,1.0,0.9791412353515625,1.0
1048576,no_relation_phase,0.6396560668945312,0.727775938808918,0.674,2,1.570796251296997,3.141592502593994,,0.560699462890625,0.437225341796875,1.0
1048576,amplitude_feature,0.75,0.4789266623556614,0.592,2,,,,1.0,0.0,1.0
1048576,real_feature_mlp,0.99981689453125,0.0008437854712610715,1.23,75457,,,,1.0,1.0,0.999267578125
4194304,phase_feature,0.9330978393554688,0.1581081710755825,2.865,18,0.004936740733683109,0.018230745568871498,,1.0,0.732391357421875,1.0
4194304,phase_margin,0.9666519165039062,0.11158292554318905,3.738,19,0.00330417905934155,0.012042444199323654,1.0,1.0,0.866607666015625,1.0
4194304,phase_margin_fixed,1.0,0.1382332257926464,3.049,16,0.00024367458536289632,0.0012535451678559184,1.0,1.0,1.0,1.0
4194304,no_relation_phase,0.6396560668945312,0.6362863704562187,2.872,2,1.570796251296997,3.141592502593994,,0.560699462890625,0.437225341796875,1.0
4194304,amplitude_feature,0.75,0.4785235393792391,2.769,2,,,,1.0,0.0,1.0
4194304,real_feature_mlp,0.9999542236328125,0.00022059814855879267,5.168,75457,,,,1.0,1.0,0.99981689453125
