train_size,layers,seed,hard_negative_rate,model,accuracy,loss,loss_bits,seconds,trainable_params,phase_active,phase_trainable,mix_mean,mix_min,mix_max,mix_effective_mean,mix_effective_min,mix_effective_max,phase_abs_mean,phase_abs_max,mix_by_layer,mix_effective_by_layer,phase_abs_by_layer,phase_abs_max_by_layer,gate_mean,gate_min,gate_max,gate_by_layer
250000,64,31,0.0,complex_attention_stacked_floor_pos,0.616344,0.6779928559570313,0.9781369310473543,249.551,5725892,,,,,,,,,,,,,,,,,,
250000,64,31,0.0,complex_attention_stacked_floor_pos_decohere,0.621256,0.6756358568115234,0.9747365000687506,169.163,5725892,,,,,,,,,,,,,,,,,,
250000,64,31,0.0,real_attention_stacked,0.753212,0.5123590721893311,0.7391778926020184,46.356,7074626,,,,,,,,,,,,,,,0.12200047075748444,0.11836755275726318,0.1274752914905548,0.121;0.121;0.121;0.123;0.118;0.122;0.119;0.123;0.123;0.121;0.122;0.121;0.121;0.123;0.121;0.122;0.123;0.124;0.122;0.123;0.123;0.120;0.121;0.121;0.122;0.124;0.120;0.118;0.123;0.124;0.127;0.125;0.123;0.120;0.124;0.125;0.123;0.124;0.120;0.120;0.121;0.122;0.122;0.121;0.124;0.119;0.122;0.121;0.120;0.124;0.124;0.125;0.125;0.122;0.120;0.119;0.122;0.121;0.119;0.122;0.123;0.124;0.123;0.122
1000000,64,31,0.0,complex_attention_stacked_floor_pos,0.700564,0.6068966775512695,0.8755668270352048,910.229,5725892,,,,,,,,,,,,,,,,,,
1000000,64,31,0.0,complex_attention_stacked_floor_pos_decohere,0.690112,0.5929453303833008,0.8554392876622561,627.521,5725892,,,,,,,,,,,,,,,,,,
1000000,64,31,0.0,real_attention_stacked,0.820344,0.405763291519165,0.5853926884494822,168.753,7074626,,,,,,,,,,,,,,,0.096456378698349,0.08205942064523697,0.11206410825252533,0.088;0.089;0.089;0.090;0.088;0.089;0.082;0.095;0.089;0.094;0.093;0.092;0.089;0.094;0.093;0.090;0.094;0.095;0.091;0.092;0.091;0.086;0.093;0.093;0.096;0.094;0.092;0.094;0.102;0.095;0.099;0.099;0.102;0.098;0.100;0.101;0.100;0.099;0.090;0.094;0.104;0.099;0.104;0.093;0.096;0.098;0.102;0.106;0.100;0.099;0.101;0.099;0.098;0.106;0.105;0.103;0.098;0.106;0.104;0.097;0.109;0.099;0.103;0.112
4000000,64,31,0.0,complex_attention_stacked_floor_pos,0.883692,0.30153966549682615,0.43502978004358794,3558.988,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,0.0,complex_attention_stacked_floor_pos_decohere,0.875616,0.3145209584197998,0.4537578269678891,2438.729,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,0.0,real_attention_stacked,0.869496,0.31950232049560545,0.4609444133315262,657.502,7074626,,,,,,,,,,,,,,,0.05423814803361893,0.03776492178440094,0.07496269792318344,0.039;0.040;0.044;0.040;0.040;0.039;0.038;0.048;0.046;0.042;0.044;0.044;0.042;0.056;0.049;0.043;0.046;0.049;0.054;0.047;0.047;0.044;0.051;0.052;0.051;0.052;0.043;0.046;0.055;0.054;0.060;0.051;0.063;0.059;0.047;0.059;0.057;0.057;0.051;0.059;0.058;0.058;0.063;0.057;0.052;0.061;0.067;0.062;0.075;0.064;0.057;0.060;0.058;0.062;0.071;0.066;0.066;0.063;0.068;0.069;0.072;0.057;0.063;0.074
250000,64,31,0.5,complex_attention_stacked_floor_pos,0.549548,0.6909055137023926,0.9967659583412836,251.251,5725892,,,,,,,,,,,,,,,,,,
250000,64,31,0.5,complex_attention_stacked_floor_pos_decohere,0.538772,0.6911909454345703,0.9971777492858087,170.544,5725892,,,,,,,,,,,,,,,,,,
250000,64,31,0.5,real_attention_stacked,0.77564,0.46283132772827146,0.6677244612816319,46.45,7074626,,,,,,,,,,,,,,,0.12489310652017593,0.1201351061463356,0.1350998729467392,0.123;0.125;0.121;0.127;0.127;0.125;0.132;0.124;0.124;0.124;0.125;0.127;0.125;0.120;0.128;0.129;0.125;0.129;0.135;0.125;0.124;0.123;0.125;0.124;0.123;0.122;0.127;0.124;0.127;0.125;0.131;0.127;0.126;0.124;0.124;0.131;0.127;0.129;0.121;0.122;0.123;0.125;0.127;0.122;0.125;0.121;0.122;0.128;0.121;0.124;0.126;0.126;0.121;0.125;0.123;0.120;0.121;0.122;0.120;0.125;0.124;0.125;0.125;0.123
1000000,64,31,0.5,complex_attention_stacked_floor_pos,0.673048,0.5962795911560058,0.8602496091440682,911.067,5725892,,,,,,,,,,,,,,,,,,
1000000,64,31,0.5,complex_attention_stacked_floor_pos_decohere,0.60266,0.6505998031616211,0.9386171096246065,623.132,5725892,,,,,,,,,,,,,,,,,,
1000000,64,31,0.5,real_attention_stacked,0.83004,0.3774984187774658,0.5446150967136751,167.972,7074626,,,,,,,,,,,,,,,0.09932896494865417,0.08813871443271637,0.11021415144205093,0.091;0.093;0.092;0.095;0.099;0.100;0.104;0.101;0.088;0.094;0.095;0.103;0.094;0.093;0.091;0.093;0.091;0.096;0.110;0.096;0.102;0.098;0.103;0.099;0.095;0.093;0.103;0.094;0.100;0.097;0.105;0.102;0.105;0.100;0.093;0.103;0.108;0.101;0.091;0.093;0.103;0.106;0.105;0.101;0.110;0.099;0.105;0.098;0.101;0.101;0.103;0.099;0.090;0.102;0.101;0.102;0.100;0.102;0.102;0.103;0.109;0.099;0.104;0.109
4000000,64,31,0.5,complex_attention_stacked_floor_pos,0.880408,0.3078236042480469,0.4440955873172241,3543.616,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,0.5,complex_attention_stacked_floor_pos_decohere,0.8735,0.3152288637084961,0.4547791184173103,2427.018,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,0.5,real_attention_stacked,0.877412,0.295357518737793,0.426110827572283,653.572,7074626,,,,,,,,,,,,,,,0.05513712763786316,0.04173913225531578,0.07463537901639938,0.044;0.042;0.045;0.044;0.048;0.053;0.064;0.048;0.051;0.044;0.047;0.060;0.046;0.048;0.043;0.049;0.051;0.045;0.073;0.051;0.060;0.058;0.050;0.051;0.051;0.050;0.061;0.042;0.051;0.050;0.061;0.051;0.056;0.057;0.050;0.055;0.063;0.050;0.046;0.053;0.060;0.064;0.063;0.050;0.048;0.061;0.060;0.067;0.060;0.056;0.065;0.057;0.049;0.058;0.067;0.063;0.061;0.063;0.060;0.070;0.072;0.051;0.067;0.075
250000,64,31,1.0,complex_attention_stacked_floor_pos,0.518104,0.6926833715515137,0.9993308650436161,250.992,5725892,,,,,,,,,,,,,,,,,,
250000,64,31,1.0,complex_attention_stacked_floor_pos_decohere,0.505736,0.6929130032348633,0.9996621535344156,170.752,5725892,,,,,,,,,,,,,,,,,,
250000,64,31,1.0,real_attention_stacked,0.913336,0.21479670556640626,0.3098861419199411,46.554,7074626,,,,,,,,,,,,,,,0.12434171140193939,0.12091401219367981,0.1288141906261444,0.123;0.126;0.121;0.126;0.128;0.125;0.127;0.124;0.124;0.124;0.126;0.128;0.122;0.122;0.124;0.125;0.124;0.126;0.128;0.125;0.127;0.122;0.126;0.125;0.124;0.121;0.125;0.122;0.126;0.124;0.129;0.124;0.124;0.125;0.124;0.127;0.126;0.129;0.123;0.123;0.122;0.123;0.125;0.124;0.125;0.125;0.122;0.126;0.121;0.122;0.127;0.123;0.122;0.124;0.121;0.122;0.122;0.122;0.123;0.127;0.122;0.128;0.124;0.123
1000000,64,31,1.0,complex_attention_stacked_floor_pos,0.869468,0.4067138396606445,0.5867640395393209,911.368,5725892,,,,,,,,,,,,,,,,,,
1000000,64,31,1.0,complex_attention_stacked_floor_pos_decohere,0.55746,0.6746979379882813,0.9733833692337027,622.121,5725892,,,,,,,,,,,,,,,,,,
1000000,64,31,1.0,real_attention_stacked,0.930236,0.17369394445800782,0.25058739230201094,166.446,7074626,,,,,,,,,,,,,,,0.1106334701180458,0.10178887844085693,0.12279940396547318,0.105;0.109;0.105;0.114;0.113;0.107;0.113;0.113;0.109;0.108;0.112;0.118;0.106;0.106;0.104;0.102;0.109;0.108;0.118;0.113;0.119;0.116;0.113;0.109;0.109;0.109;0.110;0.105;0.109;0.115;0.123;0.108;0.107;0.112;0.105;0.113;0.116;0.118;0.108;0.111;0.115;0.108;0.113;0.108;0.107;0.109;0.108;0.115;0.111;0.109;0.119;0.112;0.107;0.115;0.109;0.109;0.105;0.113;0.113;0.112;0.116;0.107;0.105;0.112
4000000,64,31,1.0,complex_attention_stacked_floor_pos,0.927996,0.1921647812652588,0.27723517696490124,3523.826,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,1.0,complex_attention_stacked_floor_pos_decohere,0.927332,0.17516874002075195,0.25271507254670694,2413.367,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,1.0,real_attention_stacked,0.941712,0.14643164352416993,0.21125620594154046,650.246,7074626,,,,,,,,,,,,,,,0.06112073361873627,0.04377065226435661,0.08720555156469345,0.050;0.052;0.048;0.056;0.062;0.061;0.062;0.067;0.059;0.050;0.063;0.067;0.051;0.060;0.044;0.055;0.062;0.050;0.073;0.071;0.065;0.063;0.062;0.058;0.048;0.053;0.062;0.050;0.054;0.054;0.085;0.048;0.052;0.063;0.049;0.058;0.065;0.073;0.049;0.055;0.076;0.062;0.063;0.055;0.056;0.060;0.059;0.063;0.072;0.059;0.064;0.065;0.052;0.075;0.067;0.072;0.067;0.078;0.066;0.063;0.078;0.087;0.069;0.056
