train_size,layers,model,accuracy,loss,seconds,trainable_params
1000000,1,real_attention_stacked,0.737064,0.5176851312255859,4.152,2929667
1000000,1,complex_attention_stacked,0.708672,0.5895570776977539,20.195,5693573
1000000,2,real_attention_stacked,0.78414,0.46185530712890627,6.369,2995460
1000000,2,complex_attention_stacked,0.726308,0.5714088576354981,35.005,5694086
1000000,3,real_attention_stacked,0.789012,0.4565826112060547,9.092,3061253
1000000,3,complex_attention_stacked,0.707624,0.5934853529663086,49.521,5694599
1000000,4,real_attention_stacked,0.794008,0.4470028633880615,11.783,3127046
1000000,4,complex_attention_stacked,0.688424,0.6121354479980469,64.273,5695112
4000000,1,real_attention_stacked,0.80708,0.4186955281829834,14.219,2929667
4000000,1,complex_attention_stacked,0.867948,0.33233062702941896,78.376,5693573
4000000,2,real_attention_stacked,0.843724,0.36900286320495607,24.741,2995460
4000000,2,complex_attention_stacked,0.865172,0.3372474482269287,135.866,5694086
4000000,3,real_attention_stacked,0.85174,0.352652364944458,35.375,3061253
4000000,3,complex_attention_stacked,0.859984,0.34636186860656737,193.756,5694599
4000000,4,real_attention_stacked,0.856008,0.3452742098999023,46.03,3127046
4000000,4,complex_attention_stacked,0.86456,0.3378684154510498,251.597,5695112
