train_size,layers,model,accuracy,loss,seconds,trainable_params,mix_mean,mix_min,mix_max,phase_abs_mean,phase_abs_max,mix_by_layer,phase_abs_by_layer,phase_abs_max_by_layer,gate_mean,gate_min,gate_max,gate_by_layer
4000000,36,complex_attention_stacked_floor,0.880272,0.3112349622039795,1996.643,5711528,0.14033673703670502,0.08244788646697998,0.3104403614997864,0.18315450847148895,1.8184826374053955,0.129;0.122;0.125;0.111;0.102;0.095;0.094;0.089;0.092;0.084;0.082;0.089;0.083;0.100;0.101;0.108;0.106;0.118;0.120;0.118;0.131;0.127;0.127;0.128;0.124;0.122;0.124;0.159;0.196;0.272;0.310;0.203;0.301;0.229;0.212;0.220,0.081;0.083;0.083;0.077;0.077;0.077;0.072;0.072;0.073;0.075;0.071;0.074;0.079;0.087;0.095;0.101;0.116;0.133;0.158;0.170;0.167;0.153;0.132;0.129;0.138;0.178;0.238;0.291;0.293;0.327;0.360;0.487;0.405;0.534;0.470;0.435,0.324;0.284;0.380;0.291;0.313;0.257;0.257;0.326;0.315;0.299;0.269;0.334;0.300;0.346;0.400;0.383;0.393;0.487;0.505;0.522;0.532;0.523;0.468;0.433;0.513;0.686;1.253;1.477;1.285;1.322;1.404;1.447;1.412;1.476;1.523;1.818,,,,
4000000,36,complex_attention_stacked_scheduled,0.879028,0.3120358497467041,1996.285,5711528,0.18129689991474152,0.1174657940864563,0.35839641094207764,0.16482214629650116,2.075119733810425,0.121;0.117;0.137;0.140;0.133;0.142;0.140;0.129;0.135;0.144;0.138;0.143;0.142;0.142;0.145;0.149;0.154;0.160;0.164;0.167;0.165;0.178;0.176;0.184;0.178;0.193;0.198;0.198;0.203;0.240;0.358;0.274;0.312;0.272;0.331;0.223,0.080;0.081;0.084;0.078;0.076;0.076;0.076;0.075;0.078;0.079;0.077;0.080;0.078;0.075;0.075;0.072;0.072;0.072;0.075;0.082;0.090;0.105;0.120;0.141;0.168;0.181;0.195;0.220;0.256;0.337;0.364;0.339;0.381;0.532;0.517;0.445,0.241;0.304;0.282;0.308;0.306;0.293;0.295;0.288;0.308;0.316;0.298;0.297;0.305;0.280;0.253;0.242;0.261;0.324;0.322;0.331;0.366;0.590;0.565;0.711;0.585;0.736;0.808;1.053;1.136;1.240;1.463;1.360;1.159;1.391;1.574;2.075,,,,
4000000,36,real_attention_stacked,0.870984,0.316173954284668,368.514,5232422,,,,,,,,,0.06538929045200348,0.05184564366936684,0.08133459091186523,0.057;0.060;0.055;0.052;0.058;0.059;0.059;0.063;0.057;0.057;0.056;0.059;0.059;0.058;0.066;0.071;0.060;0.068;0.060;0.064;0.073;0.075;0.070;0.065;0.075;0.078;0.072;0.061;0.068;0.069;0.077;0.072;0.073;0.074;0.081;0.072
4000000,40,complex_attention_stacked_floor,0.878708,0.31455170593261716,2218.336,5713580,0.12985213100910187,0.07885276526212692,0.37505289912223816,0.17331568896770477,1.7550057172775269,0.106;0.105;0.113;0.104;0.102;0.104;0.091;0.096;0.089;0.085;0.084;0.081;0.089;0.079;0.079;0.091;0.091;0.097;0.094;0.106;0.096;0.113;0.121;0.123;0.115;0.114;0.127;0.133;0.140;0.122;0.093;0.100;0.081;0.092;0.233;0.289;0.256;0.280;0.375;0.303,0.079;0.079;0.079;0.076;0.078;0.076;0.075;0.074;0.075;0.075;0.069;0.069;0.065;0.065;0.065;0.067;0.070;0.074;0.078;0.088;0.092;0.098;0.109;0.124;0.129;0.146;0.172;0.188;0.203;0.296;0.295;0.288;0.271;0.266;0.324;0.426;0.582;0.532;0.433;0.483,0.280;0.313;0.295;0.267;0.292;0.362;0.360;0.295;0.304;0.300;0.290;0.298;0.282;0.273;0.295;0.347;0.404;0.346;0.332;0.417;0.419;0.448;0.494;0.519;0.518;0.609;0.799;0.881;0.969;1.030;0.986;1.008;0.985;1.184;1.137;1.215;1.434;1.543;1.710;1.755,,,,
4000000,40,complex_attention_stacked_scheduled,0.884724,0.30005707550048827,2217.524,5713580,0.13395580649375916,0.09796346724033356,0.2970401346683502,0.14977021515369415,1.8738868236541748,0.116;0.115;0.120;0.121;0.120;0.113;0.118;0.114;0.112;0.107;0.106;0.108;0.106;0.105;0.099;0.102;0.101;0.098;0.101;0.103;0.104;0.109;0.112;0.117;0.120;0.125;0.128;0.134;0.132;0.140;0.138;0.126;0.124;0.149;0.297;0.235;0.276;0.226;0.256;0.123,0.073;0.072;0.071;0.069;0.066;0.065;0.066;0.064;0.063;0.060;0.060;0.061;0.059;0.061;0.062;0.062;0.061;0.062;0.063;0.062;0.063;0.064;0.067;0.072;0.075;0.085;0.093;0.107;0.132;0.178;0.212;0.246;0.297;0.311;0.373;0.481;0.526;0.448;0.434;0.442,0.339;0.294;0.242;0.213;0.231;0.215;0.229;0.209;0.233;0.229;0.202;0.231;0.242;0.223;0.208;0.218;0.246;0.257;0.229;0.234;0.218;0.256;0.321;0.298;0.328;0.336;0.346;0.393;0.488;0.787;0.922;1.154;1.347;1.723;1.501;1.617;1.498;1.356;1.507;1.874,,,,
4000000,40,real_attention_stacked,0.871364,0.31456968865966795,408.963,5495594,,,,,,,,,0.0636594370007515,0.04778687655925751,0.08345937728881836,0.048;0.050;0.048;0.051;0.054;0.055;0.056;0.057;0.056;0.055;0.059;0.061;0.060;0.064;0.056;0.066;0.058;0.060;0.058;0.069;0.062;0.066;0.068;0.068;0.063;0.067;0.071;0.065;0.061;0.074;0.067;0.069;0.078;0.069;0.069;0.074;0.082;0.074;0.083;0.077
4000000,44,complex_attention_stacked_floor,0.889316,0.28991308068847654,2437.517,5715632,0.1442783772945404,0.10571068525314331,0.24599994719028473,0.14558008313179016,2.0671825408935547,0.124;0.119;0.126;0.115;0.116;0.113;0.109;0.106;0.107;0.109;0.113;0.107;0.108;0.110;0.112;0.116;0.114;0.117;0.122;0.126;0.128;0.125;0.132;0.136;0.143;0.137;0.145;0.145;0.146;0.141;0.157;0.175;0.186;0.181;0.181;0.181;0.190;0.197;0.229;0.246;0.200;0.199;0.183;0.176,0.083;0.070;0.070;0.066;0.068;0.065;0.064;0.063;0.063;0.063;0.065;0.062;0.064;0.066;0.066;0.067;0.069;0.070;0.068;0.071;0.071;0.074;0.083;0.097;0.101;0.105;0.109;0.105;0.105;0.105;0.117;0.137;0.154;0.175;0.207;0.252;0.287;0.320;0.317;0.349;0.482;0.484;0.377;0.450,0.301;0.286;0.239;0.235;0.250;0.256;0.264;0.226;0.287;0.268;0.264;0.229;0.226;0.237;0.260;0.279;0.290;0.274;0.282;0.314;0.292;0.339;0.345;0.380;0.438;0.426;0.427;0.383;0.462;0.506;0.717;0.785;0.761;0.777;0.874;0.762;0.985;0.948;1.082;1.147;1.183;1.557;1.441;2.067,,,,
4000000,44,complex_attention_stacked_scheduled,0.884024,0.30144401440429686,2437.778,5715632,0.132923886179924,0.1080692782998085,0.32626795768737793,0.15317440032958984,1.777292251586914,0.132;0.117;0.117;0.120;0.113;0.116;0.111;0.126;0.119;0.119;0.116;0.111;0.112;0.119;0.113;0.108;0.108;0.113;0.108;0.108;0.114;0.109;0.113;0.114;0.118;0.114;0.114;0.111;0.114;0.117;0.122;0.125;0.128;0.122;0.123;0.124;0.140;0.142;0.207;0.256;0.192;0.185;0.210;0.326,0.065;0.060;0.063;0.065;0.062;0.062;0.059;0.060;0.057;0.058;0.059;0.059;0.058;0.062;0.061;0.064;0.071;0.074;0.081;0.087;0.096;0.109;0.120;0.130;0.132;0.136;0.134;0.126;0.116;0.117;0.117;0.134;0.157;0.179;0.206;0.241;0.275;0.316;0.331;0.333;0.505;0.541;0.479;0.423,0.365;0.240;0.239;0.283;0.286;0.229;0.229;0.242;0.272;0.228;0.228;0.240;0.292;0.301;0.278;0.312;0.333;0.333;0.361;0.365;0.411;0.402;0.436;0.474;0.431;0.447;0.459;0.438;0.406;0.439;0.441;0.600;0.618;0.899;0.976;1.056;1.082;1.192;1.151;1.393;1.257;1.598;1.610;1.777,,,,
4000000,44,real_attention_stacked,0.870176,0.31581184690856934,449.026,5758766,,,,,,,,,0.061865147203207016,0.04513471946120262,0.08005138486623764,0.049;0.045;0.051;0.051;0.053;0.054;0.053;0.057;0.049;0.054;0.054;0.051;0.062;0.053;0.057;0.057;0.056;0.052;0.059;0.059;0.064;0.069;0.059;0.075;0.063;0.063;0.062;0.070;0.062;0.067;0.080;0.066;0.071;0.066;0.067;0.075;0.072;0.064;0.069;0.071;0.077;0.066;0.078;0.072
4000000,48,complex_attention_stacked_floor,0.886452,0.2960053174133301,2657.904,5717684,0.1285678744316101,0.09165869653224945,0.4527592360973358,0.13754726946353912,1.8373030424118042,0.115;0.125;0.108;0.098;0.100;0.099;0.095;0.095;0.095;0.097;0.109;0.092;0.095;0.103;0.099;0.098;0.101;0.104;0.099;0.103;0.099;0.099;0.096;0.102;0.098;0.105;0.106;0.106;0.115;0.125;0.125;0.131;0.130;0.121;0.125;0.125;0.113;0.107;0.105;0.100;0.124;0.158;0.192;0.453;0.282;0.279;0.322;0.100,0.077;0.080;0.073;0.075;0.073;0.073;0.069;0.068;0.067;0.065;0.065;0.059;0.058;0.061;0.055;0.053;0.054;0.055;0.053;0.054;0.052;0.053;0.052;0.056;0.058;0.059;0.063;0.070;0.078;0.085;0.087;0.090;0.092;0.103;0.122;0.146;0.172;0.205;0.239;0.276;0.294;0.312;0.347;0.337;0.529;0.480;0.442;0.418,0.306;0.332;0.261;0.269;0.256;0.240;0.236;0.266;0.258;0.220;0.248;0.238;0.268;0.219;0.205;0.239;0.206;0.253;0.230;0.288;0.253;0.200;0.244;0.259;0.268;0.326;0.390;0.327;0.332;0.416;0.413;0.402;0.362;0.399;0.501;0.582;0.600;0.748;0.779;1.097;1.108;1.341;1.119;1.837;1.740;1.298;1.639;1.785,,,,
