train_size,model,accuracy,loss,seconds,trainable_params
250000,frozen_phase,0.506716,0.721273212890625,0.408,1026
250000,frozen_amplitude,0.467304,0.736562044921875,0.087,2
250000,token_phase_lowrank,0.508336,0.7208435537109374,0.513,358754
250000,token_phase,0.508276,0.7209442548828126,0.374,2846466
250000,token_complex,0.510864,0.720510505859375,0.533,5691906
250000,token_complex_role,0.509532,0.7186600625,0.652,11382786
250000,token_complex_signed,0.49482,0.743095625,0.522,5691908
250000,token_complex_role_signed,0.494856,0.74345125390625,0.655,11382788
250000,complex_diag_halfdim,0.557488,0.68801997265625,0.239,5691908
250000,complex_diag,0.591684,0.6844447265625,0.449,11383812
250000,real_diag,0.559204,0.6902524228515625,0.182,5691906
250000,real_diag_wide,0.594084,0.68782642578125,0.356,11383810
1000000,frozen_phase,0.50928,0.71389730859375,0.424,1026
1000000,frozen_amplitude,0.476372,0.732434078125,0.187,2
1000000,token_phase_lowrank,0.515716,0.7125514140625,1.217,358754
1000000,token_phase,0.513936,0.7130521015625,1.397,2846466
1000000,token_complex,0.521668,0.7114304931640625,1.954,5691906
1000000,token_complex_role,0.51544,0.69455134375,2.452,11382786
1000000,token_complex_signed,0.510744,0.7101418681640626,1.96,5691908
1000000,token_complex_role_signed,0.505868,0.704990162109375,2.464,11382788
1000000,complex_diag_halfdim,0.660864,0.6119263212890625,0.856,5691908
1000000,complex_diag,0.685576,0.5973691767578125,1.714,11383812
1000000,real_diag,0.65662,0.621493765625,0.696,5691906
1000000,real_diag_wide,0.68466,0.603439552734375,1.393,11383810
4000000,frozen_phase,0.50814,0.69357565625,1.605,1026
4000000,frozen_amplitude,0.476668,0.7227630380859374,0.581,2
4000000,token_phase_lowrank,0.521716,0.691878658203125,4.709,358754
4000000,token_phase,0.517036,0.6924150234375,5.448,2846466
4000000,token_complex,0.539912,0.68631931640625,7.662,5691906
4000000,token_complex_role,0.534236,0.687871611328125,9.636,11382786
4000000,token_complex_signed,0.513996,0.692051568359375,7.639,5691908
4000000,token_complex_role_signed,0.513392,0.6886205849609375,9.668,11382788
4000000,complex_diag_halfdim,0.7162,0.5522111669921875,3.422,5691908
4000000,complex_diag,0.73008,0.5396635859375,6.791,11383812
4000000,real_diag,0.717708,0.556214806640625,2.764,5691906
4000000,real_diag_wide,0.733936,0.540535404296875,5.496,11383810
8000000,frozen_phase,0.511632,0.692348583984375,3.265,1026
8000000,frozen_amplitude,0.479572,0.7110214990234375,1.194,2
8000000,token_phase_lowrank,0.527428,0.6903199033203125,9.396,358754
8000000,token_phase,0.522936,0.6910388818359375,10.852,2846466
8000000,token_complex,0.55016,0.6824710810546875,15.224,5691906
8000000,token_complex_role,0.54478,0.6837675146484375,19.221,11382786
8000000,token_complex_signed,0.515324,0.687255974609375,15.299,5691908
8000000,token_complex_role_signed,0.52608,0.683123435546875,19.287,11382788
8000000,complex_diag_halfdim,0.73056,0.532449595703125,6.83,5691908
8000000,complex_diag,0.738036,0.524839267578125,13.526,11383812
8000000,real_diag,0.728364,0.5378896865234375,5.452,5691906
8000000,real_diag_wide,0.740336,0.5238123837890625,10.992,11383810
